Team,País,#,POS,Player name (MD),Nombre ANTERIOR,Nombre NUEVO,Cambió?,First name(s),Last name(s),Name on shirt,externalRef,Observación,Nombre corregido sugerido
ECU,Ecuador,5,MF,ALCIVAR Jordy,Jordy Alcivar,Alcivar Jordy,SI,Jordy Jose,ALCÍVAR MACÍAS,ALCIVAR,wc2026-ECU-5,Cambio de nombre,
ECU,Ecuador,6,DF,PACHO Willian,Willian Pacho,Pacho Willian,SI,Willian Joel,PACHO TENORIO,PACHO,wc2026-ECU-6,Cambio de nombre,
ECU,Ecuador,7,DF,ESTUPINAN Pervis,Pervis Estupiñán,Estupinan Pervis,SI,Pervis Josue,ESTUPIÑÁN TENORIO,ESTUPIÑÁN,wc2026-ECU-7,Cambio de nombre,
ECU,Ecuador,8,MF,VALENCIA Anthony,A. Valencia,Valencia Anthony,SI,Anthony Lenin,VALENCIA BAJAÑA,A. VALENCIA,wc2026-ECU-8,Cambio de nombre,
ECU,Ecuador,9,FW,YEBOAH John,Yeboah Zamora,Yeboah John,SI,John,YEBOAH ZAMORA,YEBOAH ZAMORA,wc2026-ECU-9,Cambio de nombre,
ECU,Ecuador,10,MF,PAEZ Kendry,Ray Paez,Paez Kendry,SI,Ray Kendry,PAEZ ANDRADE,PAEZ,wc2026-ECU-10,Cambio de nombre,
ECU,Ecuador,11,FW,RODRIGUEZ Kevin,Kevin Rodriguez,Rodriguez Kevin,SI,Kevin Jose,RODRÍGUEZ CORTEZ,RODRIGUEZ,wc2026-ECU-11,Cambio de nombre,
ECU,Ecuador,12,GK,RAMIREZ Moises,Wellington Ramírez,Ramirez Moises,SI,Wellington Moisés,RAMÍREZ PRECIADO,RAMÍREZ,wc2026-ECU-12,Cambio de nombre,
ECU,Ecuador,13,FW,VALENCIA Enner,E. Valencia,Valencia Enner,SI,Enner Remberto,VALENCIA LASTRA,E. VALENCIA,wc2026-ECU-13,Cambio de nombre,
ECU,Ecuador,14,MF,MINDA Alan,Alan Minda,Minda Alan,SI,Alan Steve,MINDA GARCIA,MINDA,wc2026-ECU-14,Cambio de nombre,
ECU,Ecuador,15,MF,VITE Pedro,Pedro Vite,Vite Pedro,SI,Pedro Jeampierre,VITE UCA,VITE,wc2026-ECU-15,Cambio de nombre,
ECU,Ecuador,16,FW,CAICEDO Jordy,J. Caicedo,Caicedo Jordy,SI,Jordy Josue,CAICEDO MEDINA,J. CAICEDO,wc2026-ECU-16,Cambio de nombre,
ECU,Ecuador,17,DF,PRECIADO Angelo,Ángelo Preciado,Preciado Angelo,SI,Ángelo Smit,PRECIADO QUIÑONEZ,PRECIADO,wc2026-ECU-17,Cambio de nombre,
ECU,Ecuador,18,MF,CASTILLO Denil,Denil Castillo,Castillo Denil,SI,Denil Daniel,CASTILLO PRECIADO,CASTILLO,wc2026-ECU-18,Cambio de nombre,
ECU,Ecuador,19,FW,PLATA Gonzalo,Gonzalo Plata,Plata Gonzalo,SI,Gonzalo Jordy,PLATA JIMENEZ,PLATA,wc2026-ECU-19,Cambio de nombre,
ECU,Ecuador,20,FW,ANGULO Nilson,Nilson Angulo,Angulo Nilson,SI,Nilson David,ANGULO RAMIREZ,ANGULO,wc2026-ECU-20,Cambio de nombre,
ECU,Ecuador,21,MF,FRANCO Alan,Alan Franco,Franco Alan,SI,Alan Steven,FRANCO PALMA,FRANCO,wc2026-ECU-21,Cambio de nombre,
ECU,Ecuador,22,GK,VALLE Gonzalo,Gonzalo Valle,Valle Gonzalo,SI,Gonzalo Roberto,VALLE BUSTAMANTE,VALLE,wc2026-ECU-22,Cambio de nombre,
ECU,Ecuador,23,MF,CAICEDO Moises,M. Caicedo,Caicedo Moises,SI,Moisés Isaac,CAICEDO COROZO,M. CAICEDO,wc2026-ECU-23,Cambio de nombre,
ECU,Ecuador,24,FW,AREVALO Jeremy,Jeremy Arevalo,Arevalo Jeremy,SI,Jeremy Alberto,AREVALO MERA,AREVALO,wc2026-ECU-24,Cambio de nombre,
ECU,Ecuador,25,DF,POROZO Jackson,Jackson Porozo,Porozo Jackson,SI,Jackson Gabriel,POROZO VERNAZA,POROZO,wc2026-ECU-25,Cambio de nombre,
ECU,Ecuador,26,DF,MEDINA Yaimar,Yaimar Medina,Medina Yaimar,SI,Yaimar Abel,MEDINA ORTIZ,MEDINA,wc2026-ECU-26,Cambio de nombre,
EGY,Egypt,1,GK,MOHAMED ELSHENAWY,M. Elshenawy,Mohamed Elshenawy,SI,Mohamed Elsayed Mohamed,ELSHENAWY GOMAA,M. ELSHENAWY,wc2026-EGY-1,Cambio de nombre,
EGY,Egypt,2,DF,YASSER IBRAHIM,Yasser Elhanafy,Yasser Ibrahim,SI,Yasser Ahmed Ibrahim,ELHANAFY,YASSER,wc2026-EGY-2,Cambio de nombre,
EGY,Egypt,3,DF,MOHAMED HANY,M. Hany,Mohamed Hany,SI,Mohamed Hany Gamal,ELDEMERDASH,M. HANY,wc2026-EGY-3,Cambio de nombre,
EGY,Egypt,4,DF,HOSSAM ABDELMAGUID,Hossam Abdelmegeed,Hossam Abdelmaguid,SI,Hossam Abdelmegeed Abdelsalam,ABDELMEGEED,HOSSAM,wc2026-EGY-4,Cambio de nombre,
EGY,Egypt,5,DF,RAMY RABIA,R. Rabiaa,Ramy Rabia,SI,Ramy Hisham Abdelaziz Moustafa,RABIA,R. RABIAA,wc2026-EGY-5,Cambio de nombre,
EGY,Egypt,6,DF,MOHAMED ABDELMONEIM,M. Abdelmoniem,Mohamed Abdelmoneim,SI,Mohamed Abdelmoneim Elsayed M,AHMED,M. ABDELMONIEM,wc2026-EGY-6,Cambio de nombre,
EGY,Egypt,7,FW,TREZEGUET,M. Trezeguet,Trezeguet,SI,Mahmoud Ahmed Ibrahim,HASSAN,M. TREZEGUET,wc2026-EGY-7,Cambio de nombre,
EGY,Egypt,8,MF,EMAM ASHOUR,E. Ashour,Emam Ashour,SI,Emam Ashour Metwaly,ABDELGHANY,E. ASHOUR,wc2026-EGY-8,Cambio de nombre,
EGY,Egypt,9,FW,HAMZA ABDELKARIM,Hamza Selim,Hamza Abdelkarim,SI,Hamza Mohamed Abdelkarim E,SELIM,ABDELKARIM,wc2026-EGY-9,Cambio de nombre,
EGY,Egypt,10,FW,MOHAMED SALAH,M. Salah,Mohamed Salah,SI,Mohamed Salah Hamed Mahrous,GHALY,M. SALAH,wc2026-EGY-10,Cambio de nombre,
